;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
LREN3;1;0,12%;107.331.632;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;28;14,02%;107.331.631;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;28;0,15%;107.331.630;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;1;0,15%;107.331.627;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;10;14,02%;107.331.629;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GGPS3;100;0,13%;107.331.628;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;40;0,15%;107.331.614;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;30;0,15%;107.331.619;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;27;0,15%;107.331.620;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;4;0,15%;107.331.625;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HGRU11;60;0,14%;107.331.626;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;32;14,02%;107.331.623;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;40;0,15%;107.331.605;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;29;14,02%;107.331.624;Balcão;30/06/2026;18:33:57;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;64;14,02%;107.331.612;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
DIRR3;500;0,06%;107.331.622;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;2;0,15%;107.331.621;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;27;0,15%;107.331.618;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;5;0,15%;107.331.617;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;57;14,02%;107.331.615;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CASH3;100;8,97%;107.331.613;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;8;0,15%;107.331.611;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;59;14,02%;107.331.616;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;70;14,02%;107.331.600;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;24;14,02%;107.331.609;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
KLBN11;300;2,46%;107.331.610;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;25;14,02%;107.331.606;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;21;0,15%;107.331.603;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;41;0,15%;107.331.601;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;13;0,15%;107.331.607;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;1;0,15%;107.331.608;Balcão;30/06/2026;18:33:56;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
